% Model:              6reg_allT_k_eps_result_new_kIn_epsIn_HOT_JET.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:54
% Dimension:          2
% Nodes:              84581
% Expressions:        1
% Description:        Surface
% r                       z                        Temperature
0.003987499999999996      1.0571355183384458E-4    422.8994403623809
0.004124999999999996      1.0571355183384457E-4    422.89944040336997
0.003987499999999995      2.1142710366768916E-4    422.89944168017877
0.004124999999999996      2.1142710366768913E-4    422.89944176213197
0                         0.003992570046724625     422.89945259381204
1.3749999999999944E-4     0.003992570046724625     422.89945322869886
2.749999999999989E-4      0.003992570046724625     422.89945481300254
0                         0.004149305741562317     422.89945312287875
1.3749999999999944E-4     0.004149305741562316     422.89945375766837
2.749999999999989E-4      0.004149305741562316     422.89945535357623
0.0042624999999999955     0                        422.89943904196696
0.004399999999999996      0                        422.89943904196696
0.0042624999999999955     1.0571355183384455E-4    422.8994404467162
0.004399999999999996      1.0571355183384454E-4    422.89944049206593
0.0042624999999999955     2.114271036676891E-4     422.89944184858865
0.004399999999999996      2.1142710366768908E-4    422.89944193926846
0                         0.004310211059122054     422.8994536637337
1.3749999999999938E-4     0.004310211059122053     422.8994542993295
2.7499999999999877E-4     0.004310211059122054     422.8994559065043
0                         0.0044711163766817915    422.89945420716055
1.3749999999999936E-4     0.0044711163766817915    422.89945484277615
2.749999999999987E-4      0.0044711163766817915    422.8994564607294
0.004537499999999996      0                        422.89943904196696
0.004674999999999996      0                        422.89943904196696
0.004537499999999996      1.0571355183384455E-4    422.89944054013887
0.004674999999999996      1.0571355183384457E-4    422.8994405905406
0.004537499999999996      2.114271036676891E-4     422.89944203515324
0.004674999999999996      2.1142710366768913E-4    422.8994421359432
0                         0.004636302240985459     422.8994547629229
1.3749999999999938E-4     0.004636302240985459     422.8994553993906
2.7499999999999877E-4     0.004636302240985459     422.8994570278273
0                         0.004801488105289126     422.89945532119617
1.3749999999999938E-4     0.004801488105289126     422.8994559577922
2.7499999999999877E-4     0.004801488105289126     422.89945759631286
0.004812499999999996      0                        422.89943904196696
0.004949999999999994      0                        422.89943904196696
0.004812499999999996      1.0571355183384455E-4    422.8994406441061
0.004949999999999994      1.0571355183384454E-4    422.89944070039456
0.004812499999999996      2.114271036676891E-4     422.8994422427823
0.004949999999999994      2.1142710366768908E-4    422.8994423553534
0                         0.004971068391258353     422.89945589236225
1.3749999999999938E-4     0.004971068391258353     422.8994565298516
2.7499999999999877E-4     0.004971068391258353     422.89945817819756
0                         0.005140648677227581     422.8994564659773
1.3749999999999936E-4     0.005140648677227581     422.8994571036961
2.749999999999987E-4      0.005140648677227581     422.8994587615388
0.005087499999999995      0                        422.89943904196696
0.005224999999999994      0                        422.89943904196696
0.005087499999999995      1.0571355183384454E-4    422.89944076038176
0.005224999999999995      1.0571355183384454E-4    422.89944082357425
0.005087499999999995      2.1142710366768908E-4    422.899442474999
0.005224999999999995      2.1142710366768908E-4    422.8994426013878
0                         0.0053147402891862115    422.89945705305286
1.3749999999999938E-4     0.0053147402891862115    422.8994576917029
2.7499999999999877E-4     0.0053147402891862115    422.89945935881593
0                         0.0054888319011448415    422.89945764251667
1.3749999999999944E-4     0.005488831901144842     422.8994582814906
2.749999999999989E-4      0.005488831901144842     422.8994599576018
0.005362499999999994      0                        422.89943904196696
