% Model:              turbulent flows.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:57
% Dimension:          2
% Nodes:              14641
% Expressions:        1
% Description:        Surface
% r                       z                        tds.DiT_c/1e-9[m^2/s]
0.007230769230769221      0.0022222222222222222    312003.2316702022
0                         0.040317460317460314     261295.05728591973
4.999999999999998E-4      0.04031746031746033      261246.71980935073
0.007628205128205124      0                        327241.7592850347
0.007628205128205125      0.0022222222222222222    310127.42840271257
0                         0.04285714285714286      259825.23770483278
4.999999999999995E-4      0.042857142857142864     259778.22313706632
0.008019230769230763      0                        325316.8390848139
0.008019230769230763      0.0022222222222222222    308000.7473592256
0                         0.04541549953314659      258434.89094415228
4.999999999999998E-4      0.0454154995331466       258392.91220175585
0.008403846153846149      0                        323144.7388367615
0.008403846153846145      0.0022222222222222222    305601.1552627471
0                         0.04799253034547152      257115.88040675272
4.999999999999998E-4      0.04799253034547153      257074.59182369808
0.008782051282051279      0                        320706.53011362697
0.008782051282051279      0.0022222222222222222    302907.0588680227
0                         0.05058823529411765      255861.04727597348
4.999999999999998E-4      0.05058823529411765      255817.46833583794
0.00915384615384615       0                        317984.56577445066
0.00915384615384615       0.0022222222222222222    299897.8556891031
0                         0.05320261437908496      254660.74715123465
4.999999999999996E-4      0.05320261437908496      254616.49795282027
0.009519230769230764      0                        314963.1558594603
0.009519230769230764      0.0022222222222222222    296554.55141903524
0                         0.05583566760037348      253510.69643237817
4.999999999999998E-4      0.055835667600373486     253466.79072191048
0.009878205128205123      0                        311629.2921571128
0.009878205128205123      0.0022222222222222222    292860.40809445403
0                         0.05848739495798319      252407.36309799875
4.999999999999999E-4      0.05848739495798319      252364.133786185
0.010230769230769226      0                        307973.3912195678
0.010230769230769226      0.0022222222222222222    288801.6436918907
0                         0.0611577964519141       251347.24038185066
4.999999999999997E-4      0.06115779645191412      251304.84855823498
0.01057692307692307       0                        303990.0173526142
0.01057692307692307       0.0022222222222222222    284367.93113057205
0                         0.06384687208216619      250326.625172884
4.999999999999999E-4      0.06384687208216619      250285.6957558607
0.010916666666666661      0                        299678.5405948684
0.010916666666666661      0.0022222222222222222    279553.36687713146
0                         0.06655462184873949      249343.0045641496
4.999999999999997E-4      0.06655462184873949      249303.77486972846
0.011249999999999994      0                        295043.6811920922
0.011249999999999994      0.0022222222222222222    274356.6243981047
0                         0.06928104575163398      248394.7327877451
4.999999999999997E-4      0.069281045751634        248356.49116708475
0.01157692307692307       0                        290095.8927128547
0.011576923076923071      0.0022222222222222222    268783.13543126395
0                         0.07202614379084966      247479.0016401409
4.999999999999998E-4      0.07202614379084966      247441.59597328532
0.01189743589743589       0                        284851.54152579233
0.01189743589743589       0.0022222222222222222    262841.9008539698
0                         0.07478991596638655      246593.6150273755
4.999999999999998E-4      0.07478991596638655      246556.90477466947
0.012211538461538456      0                        279332.85105155036
0.012211538461538454      0.0022222222222222222    256549.5172569932
0                         0.07757236227824463      245736.39520242135
4.999999999999998E-4      0.07757236227824466      245699.7978726442
0.012519230769230762      0                        273567.5944386228
0.012519230769230762      0.0022222222222222222    249928.71952244057
0                         0.0803734827264239       244904.7041158738
4.999999999999998E-4      0.08037348272642392      244869.02203856927
0.012820512820512813      0                        267588.5377292075
0.012820512820512817      0.0022222222222222222    243000.67684632208
0                         0.08319327731092437      244098.04373954984
4.999999999999998E-4      0.0831932773109244       244063.56414416828
0.013115384615384609      0                        261432.655171305
0.013115384615384607      0.0022222222222222222    235803.78300624483
0                         0.08603174603174604      243315.09682550427
4.999999999999998E-4      0.08603174603174607      243281.96877157013
0.013403846153846146      0                        255140.15674408915
0.013403846153846145      0.0022222222222222222    228383.35320564712
0                         0.08888888888888889      242554.59316169657
4.999999999999999E-4      0.0888888888888889       242522.92568140253
0.013685897435897428      0                        248753.3828974484
0.013685897435897426      0.0022222222222222222    220785.84185615616
0                         0.09176470588235296      241815.35263849064
4.999999999999999E-4      0.09176470588235298      241785.24268689382
0.013961538461538454      0                        242315.63112887085
0.01396153846153845       0.0022222222222222222    213050.3411610859
0                         0.09465919701213821      241096.27893172886
4.999999999999999E-4      0.09465919701213825      241067.81378271256
0.014230769230769224      0                        235869.9822779153
0.014230769230769222      0.0022222222222222222    205169.6377233167
0                         0.09757236227824465      240396.28989494996
4.999999999999999E-4      0.09757236227824467      240369.5896710739
0.014493589743589736      0                        229458.19119309596
0.014493589743589733      0.0022222222222222222    196871.15301539446
0                         0.10050420168067227      239714.3042190762
4.999999999999998E-4      0.10050420168067227      239689.02859169134
0.014749999999999992      0                        223119.69750193518
0.014749999999999992      0.002222222222222222     187042.4704904853
0                         0.10345471521942112      239049.59559336738
4.999999999999998E-4      0.10345471521942112      239026.11719783014
0.015                     0                        216890.7990753273
0.015000000000000006      0.0022222222222222222    165956.87322225494
0                         0.10642390289449113      238401.5478659699
4.999999999999999E-4      0.10642390289449116      238380.26857986304
0.016541666666666652      0                        179210.35974421992
0.01654166666666666       0.0022222222222222222    142601.3562988394
0                         0.10941176470588238      237769.61744006936
4.999999999999999E-4      0.10941176470588238      237750.72263016895
0.01810284810126583       0                        146702.12035044376
0.018102848101265827      0.0022222222222222222    26523.458307088305
0                         0.1124183006535948       237153.1405981469
4.999999999999998E-4      0.11241830065359484      237136.80070312874
0.019683544303797467      0                        122778.31152113034
0.019683544303797467      0.0022222222222222222    8597.279200659088
0                         0.1154435107376284       236551.24875020506
4.999999999999997E-4      0.11544351073762844      236537.92427152427
0.021283755274261615      0                        107227.78713043623
0.021283755274261615      0.0022222222222222222    7246.8485918990355
0                         0.11848739495798322      235963.85735589536
4.999999999999999E-4      0.11848739495798322      235953.52853905127
0.022903481012658225      0                        97964.12950923084
0.022903481012658225      0.0022222222222222222    7685.551096534869
0                         0.12154995331465922      235390.53457590842
4.999999999999999E-4      0.12154995331465922      235383.1416646657
0.024542721518987325      0                        92753.79409861709
0.024542721518987322      0.002222222222222222     8024.936487369996
0                         0.12463118580765642      234830.6968562642
4.999999999999999E-4      0.12463118580765645      234826.33614209126
0.026201476793248944      0                        89929.67169529782
0.026201476793248947      0.002222222222222222     7556.583238806399
0                         0.12773109243697484      234283.8898007992
4.999999999999998E-4      0.12773109243697486      234282.71332530887
0.027879746835443038      0                        88435.58318583186
0.027879746835443038      0.002222222222222221     6989.471127996057
0                         0.1308496732026144       233749.7198288805
4.999999999999998E-4      0.1308496732026144       233751.8891463992
0.02957753164556963       0                        87658.30460494035
0.029577531645569616      0.0022222222222222214    6620.7077355855645
0                         0.13398692810457521      233227.827731057
4.999999999999998E-4      0.13398692810457521      233233.53727379328
0.031294831223628694      0                        87259.01492672441
0.031294831223628694      0.0022222222222222214    6414.480107312513
0                         0.13714285714285718      232717.90075268902
4.999999999999999E-4      0.1371428571428572       232727.37622845965
0.03303164556962024       0                        87056.01921780765
0.03303164556962024       0.0022222222222222214    6304.613154301057
0                         0.14031746031746037      232219.66726530978
4.999999999999999E-4      0.14031746031746037      232233.16090340292
0.034787974683544304      0                        86953.76268686242
0.0347879746835443        0.0022222222222222214    6247.338496468351
0                         0.1435107376283847       231732.90878322645
4.999999999999999E-4      0.1435107376283847       231750.70159701945
0.03656381856540088       0                        86902.69200015144
0.036563818565400884      0.0022222222222222214    6217.8412067433555
0                         0.14672268907563024      231257.42996858316
4.999999999999999E-4      0.1467226890756303       231279.7646098973
0.03835917721518989       0                        86877.39499121632
0.03835917721518988       0.002222222222222222     6202.756444594989
0                         0.14995331465919703      230793.02150960005
