% Model:              BurgersEquation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 4 2026, 17:49
% Dimension:          2
% Nodes:              181621
% Expressions:        1
% Description:        Surface
% X                       par1par                  Dependent variable u
-0.7546666666666668       0                        0.696661259763347
-0.7533333333333334       0                        0.6996601469086696
-0.752                    0                        0.7026467842766594
-0.7506666666666667       0                        0.7056210932220499
-0.7493333333333334       0                        0.7085829955058749
-0.748                    0                        0.7115324911281343
-0.7466666666666667       0                        0.7144695024184771
-0.7453333333333334       0                        0.7173939521220984
-0.744                    0                        0.720305840238999
-0.7426666666666667       0                        0.72320509008593
-0.7413333333333333       0                        0.7260916254045254
-0.74                     0                        0.7289654461947854
-0.7386666666666668       0                        0.7318264767725975
-0.7373333333333335       0                        0.7346746418881522
-0.7360000000000002       0                        0.7375099415414499
-0.7346666666666668       0                        0.740332301059388
-0.7333333333333334       0                        0.7431416462126745
-0.732                    0                        0.74593797700131
-0.7306666666666667       0                        0.748721219774916
-0.7293333333333333       0                        0.7514913013365168
-0.728                    0                        0.7542482216861125
-0.7266666666666668       0                        0.756991908207604
-0.7253333333333335       0                        0.7597222887479658
-0.7240000000000002       0                        0.7624393633071984
-0.7226666666666669       0                        0.7651430603148731
-0.7213333333333335       0                        0.7678333086733852
-0.7200000000000002       0                        0.7705101083827347
-0.7186666666666668       0                        0.7731733889293888
-0.7173333333333334       0                        0.7758230802824668
-0.716                    0                        0.7784591824419691
-0.7146666666666667       0                        0.7810816259623183
-0.7133333333333334       0                        0.7836903418904919
-0.712                    0                        0.7862853302264904
-0.7106666666666668       0                        0.788866522603583
-0.7093333333333334       0                        0.79143385115757
-0.7080000000000002       0                        0.7939873158884517
-0.7066666666666669       0                        0.7965268495190658
-0.7053333333333336       0                        0.7990523852848265
-0.7040000000000002       0                        0.8015639231857339
-0.7026666666666669       0                        0.8040613970447428
-0.7013333333333336       0                        0.8065447412074996
-0.7000000000000002       0                        0.8090139556740048
-0.6986666666666669       0                        0.811468975377707
-0.6973333333333335       0                        0.8139097357849261
-0.6960000000000002       0                        0.8163362368956621
-0.6946666666666669       0                        0.8187484147640604
-0.6933333333333336       0                        0.8211462059873779
-0.6920000000000002       0                        0.8235296105656148
-0.6906666666666669       0                        0.8258985656836391
-0.6893333333333336       0                        0.8282530090797289
-0.6880000000000002       0                        0.8305929407538846
-0.6866666666666669       0                        0.8329182990315432
-0.6853333333333335       0                        0.8352290228019098
-0.6840000000000002       0                        0.8375251120649848
-0.6826666666666669       0                        0.839806506296443
-0.6813333333333336       0                        0.8420731455461375
-0.6800000000000002       0                        0.8443250298140688
-0.6786666666666669       0                        0.8465620997356363
-0.6773333333333336       0                        0.8487842965308796
-0.6760000000000002       0                        0.8509916201997983
-0.6746666666666669       0                        0.8531840125468237
-0.6733333333333335       0                        0.8553614159715319
-0.6720000000000002       0                        0.8575238304739233
-0.6706666666666669       0                        0.8596711990365804
-0.6693333333333336       0                        0.8618034652477821
-0.6680000000000001       0                        0.8639206291075284
-0.6666666666666669       0                        0.8660226347854911
-0.6653333333333336       0                        0.868109427067628
-0.6640000000000001       0                        0.8701810059539389
-0.6626666666666668       0                        0.8722373168099329
-0.6613333333333334       0                        0.8742783056280334
-0.6600000000000001       0                        0.8763039724082411
-0.6586666666666668       0                        0.8783142637204647
-0.6573333333333335       0                        0.8803091267721883
-0.6560000000000001       0                        0.8822885615634118
-0.6546666666666668       0                        0.8842525158768171
-0.6533333333333335       0                        0.8862009381433503
-0.6520000000000001       0                        0.8881338283630119
-0.6506666666666668       0                        0.8900511355394388
-0.6493333333333334       0                        0.8919528093352475
-0.6480000000000001       0                        0.8938388497504381
-0.6466666666666668       0                        0.8957092070175929
-0.6453333333333335       0                        0.8975638320390116
-0.6440000000000001       0                        0.8994027248146945
-0.6426666666666668       0                        0.901225836813967
-0.6413333333333335       0                        0.9030331201866264
-0.6400000000000001       0                        0.9048245749326732
-0.6386666666666668       0                        0.9066001537657803
-0.6373333333333334       0                        0.9083598100908599
-0.6360000000000001       0                        0.9101035439079127
-0.6346666666666668       0                        0.9118313091823668
-0.6333333333333335       0                        0.9135430605816677
-0.6320000000000001       0                        0.9152387981058158
-0.6306666666666668       0                        0.9169184769792069
-0.6293333333333335       0                        0.9185820531390367
-0.6280000000000001       0                        0.9202295265853059
-0.6266666666666668       0                        0.9218608538083914
-0.6253333333333334       0                        0.9234759920222557
-0.6240000000000001       0                        0.9250749412268985
-0.6226666666666668       0                        0.9266576591854958
-0.6213333333333334       0                        0.9282241043955871
-0.6200000000000001       0                        0.9297742768571728
-0.6186666666666668       0                        0.931308135612843
-0.6173333333333335       0                        0.9328256404503241
-0.6160000000000001       0                        0.9343267913696165
-0.6146666666666668       0                        0.9358115486991394
-0.6133333333333334       0                        0.9372798735232104
-0.6120000000000001       0                        0.9387317658418295
-0.6106666666666668       0                        0.9401671872754597
-0.6093333333333334       0                        0.9415861002112061
-0.6080000000000001       0                        0.9429885046490688
-0.6066666666666668       0                        0.9443743635075664
-0.6053333333333335       0                        0.9457436404825812
-0.6040000000000001       0                        0.9470963355741137
-0.6026666666666668       0                        0.9484324130045455
-0.6013333333333334       0                        0.9497518377843187
-0.6000000000000001       0                        0.9510546099134332
-0.5986666666666668       0                        0.9523406949237387
-0.5973333333333334       0                        0.9536100591458091
-0.5960000000000001       0                        0.9548627025796442
-0.5946666666666668       0                        0.9560985920719597
-0.5933333333333335       0                        0.9573176952788242
-0.5920000000000001       0                        0.958520012200238
-0.5906666666666668       0                        0.9597055110029744
-0.5893333333333334       0                        0.9608741606737492
-0.5880000000000001       0                        0.9620259612125627
-0.5866666666666668       0                        0.9631608821112325
-0.5853333333333334       0                        0.9642788936920612
-0.5840000000000001       0                        0.9653799959550493
-0.5826666666666668       0                        0.9664641597218354
-0.5813333333333335       0                        0.967531356655038
-0.5800000000000001       0                        0.9685815867546572
-0.5786666666666668       0                        0.9696148221767232
-0.5773333333333334       0                        0.9706310359286842
-0.5760000000000001       0                        0.9716302280105397
-0.5746666666666668       0                        0.9726123719170725
-0.5733333333333334       0                        0.97357744200486
-0.5720000000000001       0                        0.9745254382739025
-0.5706666666666668       0                        0.9754563355618853
-0.5693333333333335       0                        0.9763701095786017
-0.5680000000000001       0                        0.9772667603240516
-0.5666666666666668       0                        0.9781462639827647
-0.5653333333333334       0                        0.9790085976216192
-0.5640000000000001       0                        0.9798537612406154
-0.5626666666666668       0                        0.9806817323748567
-0.5613333333333334       0                        0.9814924894519608
-0.56                     0                        0.9822860324719284
