% Model:              DA_Temp_h=147mm_regv6_58BOS.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 9 2026, 10:39
% Dimension:          2
% Nodes:              22321
% Expressions:        1
% Description:        Surface
% R                       Z                        Temperature
1.5000000000000012E-4     0.13969636363636365      450.078083011069
0.035803481012658234      0                        295.1500163722903
0.035803481012658234      2.672727272727275E-4     295.15001708227936
0                         0.14055272727272727      449.52922312383083
1.5000000000000007E-4     0.14055272727272727      449.5270552346537
0.036394936708860764      0                        295.1500093212726
0.036394936708860764      2.6727272727272743E-4    295.15000972715274
0                         0.14136                  449.07125585972193
1.5000000000000007E-4     0.14135999999999999      449.0693406385362
0.03699525316455697       0                        295.1500052623051
0.03699525316455697       2.672727272727275E-4     295.1500054922963
0                         0.1421181818181818       448.7030600238564
1.5000000000000007E-4     0.1421181818181818       448.7013583826193
0.03760443037974684       0                        295.15000294585906
0.03760443037974684       2.672727272727275E-4     295.1500030750886
0                         0.14282727272727272      448.4165747928128
1.5000000000000007E-4     0.14282727272727272      448.41505010143015
0.03822246835443039       0                        295.1500016352456
0.03822246835443039       2.6727272727272754E-4    295.15000170723584
0                         0.14348727272727269      448.20115032463576
1.5000000000000007E-4     0.14348727272727269      448.199769738474
0.0388493670886076        0                        295.15000090009625
0.03884936708860759       2.6727272727272754E-4    295.150000939858
0                         0.14409818181818182      448.04511958410154
1.5000000000000007E-4     0.1440981818181818       448.0438546262831
0.0394851265822785        0                        295.15000049128133
0.0394851265822785        2.6727272727272754E-4    295.1500005130536
0                         0.14466                  447.93683703960784
1.500000000000001E-4      0.14466                  447.9356638056125
0.04012974683544304       0                        295.1500002658923
0.04012974683544303       2.6727272727272754E-4    295.1500002777138
0                         0.1451727272727273       447.86543835028584
1.500000000000001E-4      0.1451727272727273       447.86433751020917
0.040783227848101275      0                        295.1500001426976
0.04078322784810126       2.6727272727272743E-4    295.1500001490604
0                         0.14563636363636365      447.82122144700173
1.5000000000000004E-4     0.14563636363636365      447.82017823209384
0.04144556962025317       0                        295.1500000759388
0.04144556962025317       2.6727272727272754E-4    295.1500000793348
0                         0.1460509090909091       447.79594552886323
1.5000000000000004E-4     0.1460509090909091       447.7949498595043
0.04211677215189873       0                        295.15000004007203
0.04211677215189873       2.6727272727272754E-4    295.15000004186913
0                         0.14641636363636362      447.7829872086763
1.5000000000000004E-4     0.14641636363636362      447.7820343755265
0.04279683544303798       0                        295.1500000209682
0.04279683544303798       2.6727272727272754E-4    295.1500000219111
0                         0.14673272727272726      447.7772017757948
1.5000000000000004E-4     0.14673272727272726      447.77629632113064
0.04348575949367089       0                        295.15000001087964
0.043485759493670895      2.672727272727276E-4     295.1500000113701
0                         0.147                    447.77459876607287
1.5000000000000004E-4     0.147                    447.7737518334488
0.04418354430379747       0                        295.1500000055974
0.04418354430379747       2.672727272727276E-4     295.1500000058503
3.3157894736842114E-4     0.1467327272727272       447.7735325351096
3.3157894736842114E-4     0.147                    447.7711674979218
0.044890189873417724      0                        295.1500000028555
0.044890189873417724      2.6727272727272754E-4    295.15000000298465
5.447368421052632E-4      0.14673272727272726      447.7677902186025
5.447368421052632E-4      0.147                    447.7657483754357
0.04560569620253165       0                        295.15000000144465
0.045605696202531645      2.6727272727272754E-4    295.15000000151014
7.894736842105266E-4      0.14673272727272726      447.75784236061367
7.894736842105266E-4      0.147                    447.7564479036319
0.04633006329113924       0                        295.1500000007247
0.04633006329113923       2.6727272727272754E-4    295.1500000007581
0.001065789473684211      0.14673272727272726      447.7422956521895
0.001065789473684211      0.147                    447.74187266969614
0.047063291139240515      0                        295.15000000036054
0.047063291139240515      2.6727272727272754E-4    295.1500000003769
0.001373684210526316      0.14673272727272732      447.7195693434986
0.001373684210526316      0.147                    447.7206286331112
0.047805379746835436      0                        295.15000000017784
0.047805379746835436      2.6727272727272754E-4    295.1500000001859
0.0017131578947368424     0.14673272727272726      447.6879259760116
0.0017131578947368424     0.147                    447.69068066922216
0.048556329113924046      0                        295.15000000008695
0.048556329113924046      2.672727272727276E-4     295.15000000009064
0.0020842105263157895     0.14673272727272726      447.64547497171765
0.0020842105263157895     0.147                    447.6510268271905
0.049316139240506325      0                        295.1500000000422
0.04931613924050633       2.6727272727272754E-4    295.15000000004403
0.0024868421052631584     0.14673272727272726      447.590104834686
0.0024868421052631584     0.147                    447.598675170626
0.05008481012658228       0                        295.15000000002027
0.05008481012658228       2.672727272727276E-4     295.1500000000214
0.002921052631578948      0.14673272727272726      447.51962936603184
0.002921052631578948      0.147                    447.53193308410124
0.050862341772151896      0                        295.15000000000947
0.05086234177215189       2.6727272727272754E-4    295.1500000000105
0.003386842105263158      0.14673272727272726      447.4317948168792
0.003386842105263158      0.147                    447.449502327856
0.05164873417721519       0                        295.15000000000447
0.05164873417721519       2.672727272727276E-4     295.15000000000504
0.00388421052631579       0.14673272727272726      447.32402838439515
0.00388421052631579       0.147                    447.347441436883
0.05244398734177215       0                        295.1500000000022
0.05244398734177215       2.6727272727272765E-4    295.1500000000015
0.004413157894736843      0.14673272727272726      447.19378248164327
0.004413157894736843      0.147                    447.22397295617344
0.053248101265822786      0                        295.15000000000083
0.053248101265822786      2.672727272727277E-4     295.1500000000014
0.004973684210526317      0.14673272727272724      447.0384617307901
0.004973684210526317      0.14699999999999996      447.0764429424181
0.054061075949367085      0                        295.1500000000004
0.0540610759493671        2.6727272727272765E-4    295.1500000000002
0.0055657894736842115     0.14673272727272726      446.855501623988
0.0055657894736842115     0.147                    446.9028191803463
0.05488291139240505       0                        295.15000000000026
0.054882911392405045      2.6727272727272765E-4    295.1500000000002
0.006189473684210526      0.14673272727272726      446.6421680223793
0.006189473684210526      0.147                    446.70043109244205
0.05571360759493671       0                        295.1499999999997
0.055713607594936695      2.672727272727277E-4     295.1500000000002
0.006844736842105263      0.1467327272727273       446.39554278413203
0.006844736842105263      0.147                    446.464276304434
0.05655316455696202       0                        295.1499999999997
0.056553164556962035      2.6727272727272765E-4    295.15
0.007531578947368421      0.14673272727272726      446.1135895086264
0.007531578947368421      0.147                    446.19595558014777
0.05740158227848101       0                        295.1499999999997
0.05740158227848101       2.6727272727272765E-4    295.15
0.00825                   0.14673272727272726      445.7935646711415
0.00825                   0.147                    445.890151466083
0.058258860759493665      0                        295.1499999999997
0.05825886075949366       2.6727272727272765E-4    295.15
0.009000000000000001      0.14673272727272726      445.4354958807707
0.009000000000000001      0.147                    445.5504322223459
0.059125                  0                        295.1499999999997
